File ID,Expected Output,File,Dataset
invoice_recdlroCOu1RyjeqE,"{
  ""total_gross"": 73.80,
  ""total_net"": 62.02,
  ""business_name"": ""Cyberport Store Leipzig"",
  ""items"": [
    {
      ""name"": ""Samsung EP-TA5150 EP-TA5150XBEGEU"",
      ""price"": 36.90
    },
    {
      ""name"": ""Samsung EP-TA5150 EP-TA5150XBEGEU"",
      ""price"": 36.90
    }
  ]
}",invoice_recdlroCOu1RyjeqE.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745661600000/4KwZ1lnCuF6hyc-uqp4X4g/dpcNoaFo5SrnPe0Z6BzzDHHjYgN93kniJ_kwpp0aOscQdE-jkNcVnCVhw-7ib78iNPsaVNgZlgSZfqao6gNT4ks5OzHkw-1mkFzB3cBZyjPFzUUEyqUPMO9icT1Hy1H90R-1TQ3D3nWN5j4BaJRO8B1toQ1p5UI2Y-JuNvI2FyKay0Qea6nYMJz5H5kJ3zjQ/lkYwZ6y1EbCv61L5gwvDjklHQdzkubWzS6U6Bpc2kJo),invoice
invoice_recTyYF4RD1TGZ8bv,"{
  ""total_gross"": 13.50,
  ""total_net"": 12.25,
  ""business_name"": ""dm-drogerie markt"",
  ""items"": [
    {
      ""name"": ""Cupper Weisser Tee u.Himb.34g"",
      ""price"": 2.95
    },
    {
      ""name"": ""dmBio Grüner Tee Chun Mee"",
      ""price"": 2.65
    },
    {
      ""name"": ""Pukka Matcha Green 20x1,5g-30g"",
      ""price"": 3.95
    },
    {
      ""name"": ""Oral-B Zahncrème Extra frisch"",
      ""price"": 3.95
    }
  ]
}",invoice_recTyYF4RD1TGZ8bv.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745661600000/G9i2AzFbFfX0f5XVE1_ZKw/koc5nWfYBl82FuGq_s1OKwanED2_QhXQ-J35BaXlUvEQkZDf6HcnR4GcdLdvn5numthxJHWXZfmbzSQk13HVXgcys-zky09La2ZTmt98FZ8v0NAEvPve1S7jUAK0k-eM3TT59FHlMAwRya12MOQVNmDDSAQVrJNi6-RJ7CeHtoVYVZ0wrV_PBq1usZBfg-3s/Ts0fK5Ii51T1lXo2A6Lb09CVjtincKADsKBtHPsZ-KM),invoice
invoice_recgDb5Sy3oFtu7Fo,"{
  ""total_gross"": 6.60,
  ""total_net"": 6.17,
  ""business_name"": ""dm-drogerie markt Grimmaische Straße 14, 04109 Leipzig, Deutschland"",
  ""items"": [
    {
      ""name"": ""dmBio Grüner Tee Chun Mee"",
      ""price"": 2.65
    },
    {
      ""name"": ""Pukka Matcha Green 20x1,5g=30g"",
      ""price"": 3.95
    }
  ]
}",invoice_recgDb5Sy3oFtu7Fo.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745661600000/vdMJuQyPgIx72WXOqB1XLA/il_hXeM1IcKdBdLY-lY3-jCsveJM10Zx2THGdyXUwDfK7fjsHQ7a5LsOkuQVFAN3t9mO6hsiN9H8b_EHPIbXNLj7lVpVV2E99zND3zHEBX7BDiND18mAitGG7QOgH-BqbBXDTEtUMC35inz5knnZUt9PWkwt6FEkLN8ClVmhxT904J0HU1M_0JNUvTOZpigC/IFQJOwU7Kgix4AWgYrSi8eP7oaWfxe57q7ZEjv7UTk8),invoice
invoice_rectSMsOc2o2ZggMB,"{
  ""total_gross"": 84.10,
  ""total_net"": 70.67,
  ""business_name"": ""Don Giovanni"",
  ""items"": [
    {
      ""name"": ""Moretti 0,4l Birra"",
      ""price"": 9.00
    },
    {
      ""name"": ""Orange 0,4"",
      ""price"": 9.00
    },
    {
      ""name"": ""Fl. Schwarzbier 0,5l"",
      ""price"": 9.60
    },
    {
      ""name"": ""Bruschetta"",
      ""price"": 6.50
    },
    {
      ""name"": ""Pizzabrot Knoblauch"",
      ""price"": 5.50
    },
    {
      ""name"": ""Spaghetti Carbo. Tradi"",
      ""price"": 14.50
    },
    {
      ""name"": ""Tagliatelle al Salmone"",
      ""price"": 17.50
    },
    {
      ""name"": ""Rigatoni Don Giovanni"",
      ""price"": 12.50
    }
  ]
}",invoice_rectSMsOc2o2ZggMB.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745661600000/oyjBuoveMUUEBZ8Gv-D-mA/key2tXsJQLibYi9CKS5XyaoN_5NkLwQjT_v3JaY54LRp0UnhOA-pC2ogFwukjjkotynmAI8-YgieXUkv0uf7_cAW5i-kQ7ZDP9R6hc3AdBJKDIsNiV1Y-fbsAImNK8bl9Y7qJTLwhG5PmftdXbw0-ge6-LrzgT-GMVrLlepe0qMjRZLNcMxOLlBq9ylMMyW4/p296l21l-lvMB_I9sqv76iuBlz5pKfCzXQJnxTNIkfc),invoice
invoice_recrhmZAxkVJLxvOK,"{
  ""total_gross"": 54.75,
  ""total_net"": 46.01,
  ""business_name"": ""Cafe Extrablatt"",
  ""items"": [
    {
      ""name"": ""Frischer O-Saft 0,2"",
      ""price"": 3.45
    },
    {
      ""name"": ""Gr. Schümli Kaffee"",
      ""price"": 22.00
    },
    {
      ""name"": ""Beck’s Alkoholfrei 0,33"",
      ""price"": 7.90
    },
    {
      ""name"": ""American Breakfast"",
      ""price"": 10.45
    },
    {
      ""name"": ""Hemingway"",
      ""price"": 10.95
    }
  ]
}",invoice_recrhmZAxkVJLxvOK.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745661600000/4mNanHH3rS_NKT51Cn2RBA/eubS3PC4BTSgsdy_Bg9b7Uuit2sq_bENyi_GGCaSHRVUUxkLsnwPsL-8McBjYL9A2pqq0qkGuZukotcM4Ih9ytt1IWY83Vu-rEpXTpE-QVQeAcJs5FTP6XLaMASs_x_l_trD1GLHmPYcSSE38o0A54lLc4_8EqHijC0NbslYZOdHLu62-yQEiKUYv7-AXtLi/2pDgTycqz_Daqy9QPqsk9lpd6vraWBi-apQC1wjEvmI),invoice
invoice_recaRfVgkqFM1Pkho,"{
  ""total_gross"": 22.49,
  ""total_net"": 20.25,
  ""business_name"": ""HIT Frische GmbH & Co. KG"",
  ""items"": [
    {
      ""name"": ""Oregano"",
      ""price"": 0.89
    },
    {
      ""name"": ""Knoblauch rosa"",
      ""price"": 1.79
    },
    {
      ""name"": ""Champig. Crem"",
      ""price"": 2.49
    },
    {
      ""name"": ""Mutti Passata"",
      ""price"": 1.59
    },
    {
      ""name"": ""Gehacktes R/S"",
      ""price"": 2.81
    },
    {
      ""name"": ""GLB Schinken-Pfeffer"",
      ""price"": 4.99
    },
    {
      ""name"": ""Milr.Reibek.Auril"",
      ""price"": 2.59
    },
    {
      ""name"": ""Weih. Sahne z. K"",
      ""price"": 3.10
    },
    {
      ""name"": ""R.to go Granatap"",
      ""price"": 1.99
    }
  ]
}",invoice_recaRfVgkqFM1Pkho.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745661600000/OaEj_KwLiDGrrv5mn9eYhQ/dMxErps9ajlRmzK5bo7rf1jwpAILLC3JJhb8NUep6k4iX3fPEXDf1vprM2DcfjGNI0ZevH4d-zZNYkUYA8NErZbtGy_LIrP46_oxF0yNzGq2cR5NSetdmOcnJVVFdjhGO_OnhmOALrV3XkRNiJtZuNCM7XGixK0vLn6bxPYE2EPTMm1oPYB7e9JXNwQVAWIH/4EsnqCt_6_BFKrpSPkICtCJ0eYMH9JZ7fu9nj0Av1Uw),invoice
invoice_recjlWooL6XMcsS31,"{
  ""total_gross"": 13.75,
  ""total_net"": 12.85,
  ""business_name"": ""go asia Supermarkt"",
  ""items"": [
    {
      ""name"": ""Milikis Milchgetränk Soda 500ml"",
      ""price"": 2.39
    },
    {
      ""name"": ""Milikis Milchgetränk Soda 500ml"",
      ""price"": 2.39
    },
    {
      ""name"": ""Milikis Milchgetränk Soda 500ml"",
      ""price"": 2.39
    },
    {
      ""name"": ""Waffeln Sojamilch Geschmack 1 12,8g Bourbon"",
      ""price"": 3.99
    },
    {
      ""name"": ""Kaffee Bonbons mit Vanillecreme Füllung Espresso 150g"",
      ""price"": 2.59
    }
  ]
}",invoice_recjlWooL6XMcsS31.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745661600000/ykqHy65D7l6foAXiJsAS7Q/OEeYiVVc-_Vg-X9-HRhAo4NHyi27ydKQSbQhRgMjfE4fkiO1S4yGt-0Byyikw8eTPH3W9HUxJbPYRAbJ6KW5BzEK8M99d5QwlnJ5yNQ26hOtXTCqExOfdchrt_7YVnFY_a05Kf2j48XFKmh8X2S4-_EGw22Q-MVfkyGNcKDxa5nmy8_9CoeViFE7Qu8Af1wu/Uwan9l0RC4YobH_L6QLotnyCJ8WI9sa2cKnv1a_76d0),invoice
invoice_recJ8V0Lvp9Q2dguR,"{
  ""total_gross"": 270.30,
  ""total_net"": 227.14,
  ""business_name"": ""Steakhaus EL TORO"",
  ""items"": [
    {
      ""name"": ""Pfefferhüft Steak"",
      ""price"": 33.00
    },
    {
      ""name"": ""Rumpsteak Grande"",
      ""price"": 35.80
    },
    {
      ""name"": ""Filet Mediano"",
      ""price"": 32.00
    },
    {
      ""name"": ""Pfefferfilet 300 GR"",
      ""price"": 49.00
    },
    {
      ""name"": ""Papa Asada"",
      ""price"": 19.50
    },
    {
      ""name"": ""Frische Champignonköpfe"",
      ""price"": 6.80
    },
    {
      ""name"": ""Vanille Eis mit Schattenmorellen"",
      ""price"": 21.00
    },
    {
      ""name"": ""Palatschinken mit Vanille Eis"",
      ""price"": 11.50
    },
    {
      ""name"": ""0.5 Krefelder"",
      ""price"": 16.50
    },
    {
      ""name"": ""0.5 Brinkhoffs Nr. 1"",
      ""price"": 11.00
    },
    {
      ""name"": ""0.3 Brinkhoffs"",
      ""price"": 7.00
    },
    {
      ""name"": ""0.5 Weizen"",
      ""price"": 16.50
    },
    {
      ""name"": ""0.3 Radler"",
      ""price"": 3.50
    },
    {
      ""name"": ""0.3 Pepsi"",
      ""price"": 7.20
    }
  ]
}",invoice_recJ8V0Lvp9Q2dguR.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745661600000/SAYs2TsvOPnKOUNeI4y8UQ/2Xs7Cguxvz8QEM8ouj8BJLlvzhEHaCzx38yjhnGoTEgHfXhFMPPaO55-5zHspqdZLpl5EhBsDCijdKLz20w6kx3jMyx6KbnS-Vot1oiRQMr32xi3QglG-gvclVFOI93TJnJGBne7oWDEZzU5P9I0u04JLVFWYmCSk4YzresMXYY_8wG-U1FynK0Bn7_6OW-c/1Wio2aw3vxNipje7zsAn9d_6Y6OW5JhmS6VwZ6qfWbw),invoice
invoice_recFVad91IksK2PRS,"{
  ""total_gross"": 161.30,
  ""total_net"": 135.55,
  ""business_name"": ""Restaurant Herkules"",
  ""items"": [
    {
      ""name"": ""341 PILS 0,5"",
      ""price"": 20.00
    },
    {
      ""name"": ""345 HEFE DUNKEL 0,5"",
      ""price"": 14.70
    },
    {
      ""name"": ""340 PILS 0,3"",
      ""price"": 3.80
    },
    {
      ""name"": ""312 APFELSCHORLE 0,3"",
      ""price"": 12.60
    },
    {
      ""name"": ""1 GIOUwARLAKIA"",
      ""price"": 13.60
    },
    {
      ""name"": ""10 TIROPITA"",
      ""price"": 17.80
    },
    {
      ""name"": ""103 KALAMARIA"",
      ""price"": 19.50
    },
    {
      ""name"": ""141 GYROS ÜBERBACKEN"",
      ""price"": 21.50
    },
    {
      ""name"": ""144 BIFTEKI"",
      ""price"": 18.90
    },
    {
      ""name"": ""174 AKROPOLIS-TELLE"",
      ""price"": 18.90
    }
  ]
}",invoice_recFVad91IksK2PRS.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745661600000/CBgulWH5Ov8fZHoSX18NJw/a4UP5oId0KEk7gBZFHYslPrCSmJvW8smkIgxP4weT7tpfHE7B3t4job7b73kTjrAJl_ikzd5br9oxMjIwH4-jx4ENVInXM2pe50zQD7HlGiWa4X53Rp7DxDlGmDuw375QoKPZO6CDPcnjyeCb_pxhsKG9gM2BsxROol55TsfYaS524_qCZo1LpeKOzS9vpH_/FPFFx1kMQo6qm-aY5AUCOE28x6gVWbwurUj60k_T_Ak),invoice
invoice_recMytYUsgJeNIvMn,"{
  ""total_gross"": 24.15,
  ""total_net"": 20.29,
  ""business_name"": ""FIVE GUYS GERMANY GmbH"",
  ""items"": [
    {
      ""name"": ""BACON CHEESEBURGER"",
      ""price"": 12.95
    },
    {
      ""name"": ""FRIES REGULAR"",
      ""price"": 7.25
    },
    {
      ""name"": ""SODA"",
      ""price"": 3.95
    }
  ]
}",invoice_recMytYUsgJeNIvMn.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745661600000/5wEwnVSHNSCzAp6zvQhH4A/VqpL51sKZCIr1n5HNcJoRTYMR8boa3y5AloaHyRCSfmjMmLdBXN0x7BW3OEDO4xPCvMQYkda37fm2QXfAfb9PEz8H3rmR2tOVdxZZXrw92W82mfqS9KYt2Qt401PcgoOhfqwfJWD2THOfTHBY_zlEeEHvcz6j-iQjCACKY2aTy2x44AgTyVqVoXSXSGbFnPp/DWjfWI9JSvVrZ7ujwMxtCTEAtrngYAsExJSCqqelgd8),invoice
invoice_recjghWDGwQlrE73F,"{
  ""total_gross"": 112.99,
  ""total_net"": 94.95,
  ""business_name"": ""MEDIA MARKT"",
  ""items"": [
    {
      ""name"": ""EPSON PERFECTION V 39 II 304 SCANNER"",
      ""price"": 112.99
    }
  ]
}",invoice_recjghWDGwQlrE73F.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745661600000/ue4kbXMJAybG0IQBDYfnDw/oO8EzbaLAhS-LCzjldeKhmxGU75XIJIW_mkEfhS2IA2LnfY9z_DlF1yjEUNh1QUJlkKJg-8e55lf4zBUEyK5VXJ4FLwQchs0SSbWArOcZO6hqhwni01X--oJMiVt4DI8pWV9CDdG5P0YUL-2bxbCrTd4Mefuo5HOVPk_XD7n9tWiJSdI9lv7_FGBjI5KC_zo/QQRvc8ZwupCwO91e-sZDj9_l79jpaN74Ete-SdIjBFc),invoice
invoice_recc2k6CJbofrzPXc,"{
  ""total_gross"": 9.90,
  ""total_net"": 9.25,
  ""business_name"": ""Ludwig. Unternehmensgruppe Dr. Eckert GmbH"",
  ""items"": [
    {
      ""name"": ""IX Magazin"",
      ""price"": 9.90
    }
  ]
}",invoice_recc2k6CJbofrzPXc.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745661600000/a8vgsmZjSqdA-xU4FrXxYQ/C3nNeqR7chjLt4GOpUiDPAk6b6K74qhUA_RlG1UFBSymd2Jfqt4UYLmjI5sehBbKn4OjhrQBeGuxF22zuwgnN3lkWnvposwh_eckVPq9enjKWihCfjTEtKtJQA7Q58FktbQFwlCiIP_DT8DsApmThIKJFYwP5a9L6-9rrmXu1jDLKD497cj9okGlAYodK4M6/DEDqCJqzU3tyBLdhDraZLN51610eaY1m2o-r5kC7obk),invoice
invoice_rec2WDyPSoXCXpCUS,"{
  ""total_gross"": 10.99,
  ""total_net"": 9.23,
  ""business_name"": ""Stefan Timme Familiengastronomie e.K."",
  ""items"": [
    {
      ""name"": ""Der M MM"",
      ""price"": 10.99
    }
  ]
}",invoice_rec2WDyPSoXCXpCUS.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745661600000/i9b_nX_7kLUDbKy5Kg-Qug/ZaQxS7U_M_3UuhpBcUGrbKl2oE84BIpJ3sw5t75Y9FA3xnVmt8wVZtH38Q9usJ5tgyb-lm562291WNWxCQcll48DRmOv8TUTcJ6omyQtTHKNzIRSjgI_36_8-boUVJ6dYc1q43LJT7hQcSYW4I_Eg4J-L-L6mdjj9mOEmteZJedho4eQk_ijTfdPu73auFlH/ghc0dUS1Ha0EYuNZfoGzfrHJZoemZDSW5LmIRumyxI4),invoice
